country,ti,ti_count,ti_percentage,ti_percentage_accumulative
Sweden,sustainable_agriculture_production,499,0.7595129375951294,0.7595129375951294
Sweden,e_health,48,0.0730593607305936,0.832572298325723
Sweden,artificial_intelligence,10,0.015220700152207,0.84779299847793
Sweden,universal_basic_income,1,0.0015220700152207,0.8493150684931507
Sweden,teleworking,2,0.0030441400304414,0.852359208523592
Sweden,smart_collaboration_tools,8,0.0121765601217656,0.8645357686453576
Sweden,sustainable_water_production_treatment,9,0.0136986301369863,0.878234398782344
Sweden,nanotechnology,3,0.0045662100456621,0.882800608828006
Sweden,solar_energy,15,0.0228310502283105,0.9056316590563166
Sweden,electric_car,8,0.0121765601217656,0.9178082191780822
Sweden,autonomous_transport,16,0.0243531202435312,0.9421613394216134
Sweden,carbon_price,13,0.0197869101978691,0.9619482496194824
Sweden,steel_production,2,0.0030441400304414,0.964992389649924
Sweden,clothes_designed_for_a_circular_economy,10,0.015220700152207,0.9802130898021308
Sweden,chemicals_production,3,0.0045662100456621,0.984779299847793
Sweden,smart_food_management_kitchen_fridges_freezers,1,0.0015220700152207,0.9863013698630136
Sweden,sharing_economy,5,0.0076103500761035,0.9939117199391172
Sweden,city_planning,1,0.0015220700152207,0.995433789954338
Sweden,low_impact_living,1,0.0015220700152207,0.9969558599695586
Sweden,3d_printing,1,0.0015220700152207,0.9984779299847792
Sweden,videoconferencing,1,0.0015220700152207,1.0
United Kingdom,artificial_intelligence,85,0.10365853658536585,0.10365853658536585
United Kingdom,solar_energy,48,0.05853658536585366,0.16219512195121952
United Kingdom,smart_collaboration_tools,193,0.23536585365853657,0.3975609756097561
United Kingdom,hologram,8,0.00975609756097561,0.4073170731707317
United Kingdom,3d_printing,16,0.01951219512195122,0.4268292682926829
United Kingdom,biophilia,1,0.0012195121951219512,0.42804878048780487
United Kingdom,nanotechnology,35,0.042682926829268296,0.47073170731707314
United Kingdom,fiber_optic_cables,2,0.0024390243902439024,0.47317073170731705
United Kingdom,autonomous_transport,172,0.2097560975609756,0.6829268292682926
United Kingdom,sustainable_agriculture_production,107,0.13048780487804879,0.8134146341463415
United Kingdom,clothes_designed_for_a_circular_economy,3,0.003658536585365854,0.8170731707317073
United Kingdom,sustainable_fabrics,1,0.0012195121951219512,0.8182926829268292
United Kingdom,cement_production,2,0.0024390243902439024,0.8207317073170731
United Kingdom,e_health,1,0.0012195121951219512,0.8219512195121951
United Kingdom,organic_food,1,0.0012195121951219512,0.823170731707317
United Kingdom,blockchain,5,0.006097560975609756,0.8292682926829268
United Kingdom,chemicals_production,5,0.006097560975609756,0.8353658536585366
United Kingdom,teleworking,26,0.03170731707317073,0.8670731707317073
United Kingdom,3d_printed_apparel,1,0.0012195121951219512,0.8682926829268293
United Kingdom,new_living_concepts,2,0.0024390243902439024,0.8707317073170732
United Kingdom,city_planning,12,0.014634146341463415,0.8853658536585366
United Kingdom,sustainable_water_production_treatment,14,0.01707317073170732,0.9024390243902439
United Kingdom,universal_basic_income,1,0.0012195121951219512,0.9036585365853659
United Kingdom,public_transport,15,0.018292682926829267,0.9219512195121952
United Kingdom,electric_car,34,0.041463414634146344,0.9634146341463414
United Kingdom,carbon_price,6,0.007317073170731708,0.9707317073170731
United Kingdom,videoconferencing,13,0.015853658536585366,0.9865853658536585
United Kingdom,smart_food_management_kitchen_fridges_freezers,2,0.0024390243902439024,0.9890243902439024
United Kingdom,low_impact_living,2,0.0024390243902439024,0.9914634146341463
United Kingdom,insulation,1,0.0012195121951219512,0.9926829268292683
United Kingdom,hydropower,2,0.0024390243902439024,0.9951219512195122
United Kingdom,meatfree_plant_based_biotech,1,0.0012195121951219512,0.9963414634146341
United Kingdom,heating_and_cooling,3,0.003658536585365854,1.0
